Name,State,Public IP,Private IP,Shape,OCPU Count,Memory (GB),GPU Count,Region,AD,FD,Created On,OCID,Compartment OCID
admin-server,RUNNING,129.146.17.229,10.0.0.14,VM.Standard1.16,16,112,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-2,2017-11-15 22:45:12.393 +0000 UTC,ocid1.instance.oc1.phx.abyhqljtsoo7zgmbv2oqmpt6pgxuuv2x6y4q5ydpkka3tkbz7iutj3muum2q,ocid1.compartment.oc1..aaaaaaaar235kbrqishx63v2wet2ine6ul45uuhbjmqjzwgsfb5fs3ij6uyq
admin-server-2,RUNNING,138.1.146.85,10.0.0.251,VM.Standard2.24,24,320,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-3,2022-08-17 15:45:40.272 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2ycij7s6ejeia4hgarechg3crq5shqxenbc6g2zrk267vta,ocid1.compartment.oc1..aaaaaaaar235kbrqishx63v2wet2ine6ul45uuhbjmqjzwgsfb5fs3ij6uyq
adminserver-3,RUNNING,130.35.141.25,10.0.0.29,VM.Standard2.24,24,320,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-2,2023-10-20 17:27:20.077 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2yc2gwuq54ubytxoxluzejwvkgfjc3nbxq4hthhq4pacdza,ocid1.compartment.oc1..aaaaaaaar235kbrqishx63v2wet2ine6ul45uuhbjmqjzwgsfb5fs3ij6uyq
instance-20230207-1359,STOPPED,138.1.157.234,10.0.0.60,VM.Standard.E4.Flex,1,8,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-1,2023-02-07 08:31:52.848 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2ycbqgujfopfuwiffb472ukywjn5wpxwfackfm5wvz7l7tq,ocid1.compartment.oc1..aaaaaaaatvr2qllpfd24jv44tfscumq4anankshx7cgk4b7bmhlgnwvffriq
testzep-1,RUNNING,,10.0.0.29,VM.Standard2.2,2,30,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-3,2021-07-21 15:40:07.765 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2ycnr4v66bnpipvjem7gl6s2znbgwbsqkyd5eklcqvajqyq,ocid1.compartment.oc1..aaaaaaaatvr2qllpfd24jv44tfscumq4anankshx7cgk4b7bmhlgnwvffriq
bpod-1,RUNNING,138.1.146.105,10.0.17.67,VM.DenseIO2.16,16,240,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-3,2022-08-08 18:58:53.695 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2ycaurai4ddx643s7ox4zbamr6fgbistxcu67nuezthx5ka,ocid1.compartment.oc1..aaaaaaaavmr3oaamufyo5m3x5x5ozoosnq4ngrvh43ral3jm2xyjtr6gglwq
cman-1,RUNNING,,10.0.4.205,VM.Standard2.16,16,240,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-2,2020-03-07 03:35:47.507 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2ycohdp4fnb2om4pnjaluznmjzif3zhr7yoti5subo36xeq,ocid1.compartment.oc1..aaaaaaaavmr3oaamufyo5m3x5x5ozoosnq4ngrvh43ral3jm2xyjtr6gglwq
ctrl-1,RUNNING,138.1.158.111,10.0.16.4,BM.DenseIO2.52,52,768,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-2,2020-03-07 03:37:01.535 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2yclalwatsmsh5gf46rjtbagdn3knw7eoafipndjtpgos2q,ocid1.compartment.oc1..aaaaaaaavmr3oaamufyo5m3x5x5ozoosnq4ngrvh43ral3jm2xyjtr6gglwq
dev1vm,STOPPED,129.146.83.3,10.0.1.82,VM.Standard2.2,2,30,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-1,2018-06-17 05:14:35.35 +0000 UTC,ocid1.instance.oc1.phx.abyhqljttdgbhn6vp4dybd73ly2sjczifycdmayi3pt3nc3tuawfk64uplpa,ocid1.compartment.oc1..aaaaaaaavmr3oaamufyo5m3x5x5ozoosnq4ngrvh43ral3jm2xyjtr6gglwq
fbpod-1,RUNNING,130.35.142.178,10.0.16.6,VM.DenseIO2.16,16,240,0,phx,VnTy:PHX-AD-1,FAULT-DOMAIN-2,2021-03-08 22:27:06.855 +0000 UTC,ocid1.instance.oc1.phx.anyhqljt6gc7n2ycxal3g37gbbkk7jkpztcwqsgncikab2b5b7lhl7sd4noa,ocid1.compartment.oc1..aaaaaaaavmr3oaamufyo5m3x5x5ozoosnq4ngrvh43ral3jm2xyjtr6gglwq
